Country;Code;Total;GDP;Pop;PCR;Urban;WiP;Area;Urb_area
Albania;ALB;11;6492.872012;2.811666;98.15583038;1.770478;35.71428571;28750;827.6939565
Argentina;ARG;66;10636.1202;45.808747;101.3452072;42.248949;44.74708171;2780400;11432.73056
Armenia;ARM;91;4966.513471;2.790974;91.81968689;1.770343;33.64485981;29740;922.3350265
Australia;AUS;120;60443.10916;25.688079;96.44;22.184739;31.12582781;7741220;11945.98604
Austria;AUT;47;53637.70571;8.955797;99.66526031;5.283472;40.43715847;83879;2973.71201
Azerbaijan;AZE;62;5387.997975;10.13775;94.32929993;5.755809;18.18181818;86600;2589.858867
Belgium;BEL;68;51247.01435;11.592952;79.33482361;11.374657;42;30530;7730.87924
Bangladesh;BGD;68;2457.92488;169.356251;121.9175262;65.957486;20.85714286;147570;56970.02069
Bulgaria;BGR;120;12221.49661;6.877743;87.87634277;5.228804;23.75;111000;2109.344193
Bosnia and Herzegovina;BIH;81;7143.310548;3.270943;85.42336273;1.616664;26.19047619;51210;1641.927708
Belarus;BLR;109;7302.257794;9.340314;93.63146973;7.463845;40;207610;2882.60449
Bolivia;BOL;28;3345.196589;12.079472;92.88169098;8.513008;46.15384615;1098580;1767.519044
Brazil;BRA;96;7507.160971;214.326223;100.6846466;187.143228;15.20467836;8515770;45853.33961
Botswana;BWA;0;6805.221274;2.588423;94.55426788;1.852275;10.76923077;581730;804.3459935
Canada;CAN;151;51987.93905;38.246108;97.81784058;31.229095;30.47337278;9879750;13983.1143
Switzerland;CHE;64;91991.60046;8.703405;99.57124329;6.440172;42.5;41290.39;4016.815073
Chile;CHL;23;16265.09598;19.493184;101.4751129;17.118329;35.48387097;756700;3579.670357
China;CHN;208;12556.33312;1412.36;98.29463196;882.894483;24.94117647;9600012.9;522345.1853
Colombia;COL;51;6104.136709;51.516562;103.7517471;42.109638;18.82352941;1140619.05;5114.558454
Costa Rica;CRI;23;12472.44373;5.153957;104.6601639;4.196609;45.61403509;51100;1475.943583
Cyprus;CYP;28;31551.81641;1.244188;100.3684998;0.831814;14.28571429;9250;518.9803766
Czech Republic;CZE;121;26821.24523;10.505772;100.5519028;7.796754;25;78871.01;4023.399313
Germany;DEU;129;51203.55447;83.196078;98.56955719;64.513567;34.91847826;357590;36996.44357
Denmark;DNK;46;68007.75667;5.856733;98.53518677;5.167981;39.66480447;42920;2235.486537
Algeria;DZA;16;3690.627878;44.177969;103.6635284;32.807002;8.108108108;2381741;9357.099747
Ecuador;ECU;34;5965.132871;17.797737;100.6137466;11.454802;39.41605839;256370;2293.845469
Egypt;EGY;2;3698.834981;109.262178;104.6092987;46.831955;27.7027027;1001450;18917.96116
Spain;ESP;50;30103.51373;47.41575;98.90447998;38.43331;43.42857143;505969.891;15655.06941
Estonia;EST;63;27943.70122;1.330932;97.8786087;0.923866;25.74257426;45340;449.9723276
Finland;FIN;41;53654.7503;5.541017;99.03176117;4.742889;46;338460;2242.659442
France;FRA;105;43658.97898;67.749632;92.93036652;55.041156;39.51473137;549086.87;23030.66088
United Kingdom;GBR;131;46510.28278;67.326569;99.43340302;56.656654;34.25925926;243610;22675.97625
Georgia;GEO;74;5023.27438;3.70861;90.71907806;2.220419;19.33333333;69700;1130.16341
Ghana;GHA;11;2363.299296;32.833031;93.80911255;19.038233;14.54545455;238530;5559.549789
Greece;GRC;47;20192.5963;10.641221;100.6033173;8.51702;21.66666667;131960;2748.663461
Hong Kong SAR, China;HKG;113;49800.54241;7.4131;100.7453003;7.4131;17.14285714;1110;516.713727
Honduras;HND;13;2771.717461;10.278345;77.19140625;6.062373;27.34375;112490;1576.928238
Croatia;HRV;113;17685.32528;3.899;95.74845123;2.256663;31.12582781;88070;1648.413072
Hungary;HUN;101;18728.12189;9.709891;94.42460632;7.014911;13.06532663;93030;3928.833665
Indonesia;IDN;99;4332.709281;273.753191;102.3348389;156.833203;21.04347826;1916906.77;67755.13459
India;IND;106;2256.590409;1407.563842;97.3657074;498.179071;14.44444444;3287260;171839.1829
Ireland;IRL;12;100172.0793;5.033165;98.9764328;3.216796;22.5;70280;1261.38995
Iran, Islamic Rep.;IRN;104;4091.209187;87.923432;101.0606766;67.125144;5.594405594;1745150;16217.10485
Iraq;IRQ;16;4775.377454;43.533592;66.99707031;30.960655;28.87537994;435052;6572.968868
Iceland;ISL;11;68727.63666;0.37252;99.37201691;0.34996;47.61904762;103000;107.5600307
Israel;ISR;139;52170.71186;9.364;107.2998886;8.677993;28.33333333;22070;2743.733632
Italy;ITA;139;35657.49756;59.109668;97.55294037;42.172384;35.71428571;302068;20916.72317
Japan;JPN;108;39312.66037;125.681593;99.13716888;115.459909;9.677419355;377974;53452.06098
Kazakhstan;KAZ;117;10373.78979;19.000988;102.0028;10.986561;27.10280374;2724900;6363.389933
Kenya;KEN;2;2081.799855;53.005614;99.67874146;15.10289;21.61383285;580370;3416.836892
Kyrgyz Republic;KGZ;34;1276.700365;6.6918;102.401001;2.485736;20.45454545;199950;2136.338096
Korea, Rep.;KOR;172;34997.78164;51.744876;99.72099304;42.127573;19;100410;12473.40781
Sri Lanka;LKA;25;4013.687657;22.156;98.24330902;4.178622;5.381165919;65610;3627.830501
Lithuania;LTU;31;23723.34025;2.800839;103.6344833;1.911545;27.65957447;65290;1185.850171
Luxembourg;LUX;7;133590.147;0.640064;84.04065704;0.586759;35;2590;283.4979815
Latvia;LVA;64;21148.16294;1.88449;98.32875824;1.289387;29;64590;676.2682094
Macao SAR, China;MAC;60;43873.59116;0.686607;100.6617432;0.686607;15.15151515;32.9;17.76442698
Morocco;MAR;33;3795.380127;37.076584;104.0223694;23.753114;22.78481013;446550;4621.348251
Moldova;MDA;62;5230.661733;2.615199;107.4666824;1.124483;39.6039604;33850;1576.100252
Mexico;MEX;98;10045.6805;126.705138;102.6626282;102.651435;50;1964375;28588.1316
North Macedonia;MKD;67;6694.641126;2.065092;94.8300705;1.213985;41.66666667;25710;701.2678632
Montenegro;MNE;27;9465.703999;0.619211;101.1141281;0.419986;24.69135802;13810;294.6491995
Mongolia;MNG;130;4566.140154;3.347782;96.64516449;2.302772;17.10526316;1564115.749;354.9778717
Mauritania;MRT;7;2166.046799;4.614974;72.909729;2.590523;20.26143791;1030700;373.5388786
Malaysia;MYS;74;11109.26184;33.573874;104.6396713;26.085557;14.86486486;330241;11417.6354
Nigeria;NGA;6;2065.749068;213.401323;73.7924881;112.560662;3.611111111;923770;25189.86866
Nicaragua;NIC;25;2045.535402;6.85054;84.87586212;4.060795;50.54945055;130370;992.8293569
Netherlands;NLD;65;57767.87881;17.533044;97.05544281;16.230689;39.33333333;41540;8322.48914
Norway;NOR;62;89154.27609;5.40832;99.2576828;4.506374;44.9704142;624499;2007.78451
Nepal;NPL;15;1208.218534;30.034989;103.6313095;6.30975;32.72727273;147180;3041.754743
New Zealand;NZL;41;48781.02663;5.1226;103.457962;4.445853;49.16666667;267710;1970.292306
Oman;OMN;2;19509.46646;4.520471;99.2078476;3.934799;2.325581395;309500;1500.494267
Pakistan;PAK;2;1505.010193;231.402117;72.92545319;86.636953;20.1754386;796100;39082.02197
Panama;PAN;36;14617.60448;4.351267;86.94606781;2.992584;22.53521127;75320;1070.980785
Peru;PER;103;6621.574336;33.715471;116.2062225;26.466645;40;1285220;3457.867933
Philippines;PHL;111;3460.530963;113.880328;94.82428741;54.302696;27.96052632;300000;12151.46533
Poland;POL;126;17999.90995;37.747124;95.02263641;22.676585;28.32244009;312710;14773.80472
Puerto Rico;PRI;27;32640.71034;3.263584;69.92;3.054454;5.88235294;8870;2390.731346
Portugal;PRT;60;24567.50927;10.325147;105.4502487;6.902258;40;92230;4165.146685
Paraguay;PRY;18;5891.499965;6.703799;87.18881226;4.189606;16.25;406752;1320.831273
Romania;ROU;105;14858.22943;19.11988;85.29187012;10.38764;18.54103343;238400;5124.834377
Russian Federation;RUS;183;12194.77734;143.449286;105.225853;107.492288;16.22222222;17098250;52886.95487
Rwanda;RWA;3;822.3479886;13.461888;91.00105286;2.364984;61.25;26340;1506.225743
Saudi Arabia;SAU;90;23185.87079;35.950396;104.875267;30.380961;19.86754967;2149690;7756.634132
Singapore;SGP;123;72794.00302;5.453566;101.4013977;5.453566;29.80769231;728;454.0838427
El Salvador;SLV;37;4551.184661;6.314167;100.1043396;4.679934;27.38095238;21040;1559.874606
Serbia;SRB;102;9230.178316;6.834326;98.06678772;3.871714;39.2;84990;2323.39062
Slovak Republic;SVK;82;21391.92533;5.447247;98.34087372;2.931708;22.66666667;49030;1805.386356
Slovenia;SVN;47;29291.40062;2.108079;103.8800888;1.168445;26.66666667;20480;804.8115698
Sweden;SWE;56;61028.73806;10.415811;104.6535873;9.190703;46.99140401;528860.704;4064.22826
Syrian Arab Republic;SYR;44;533.39;21.324367;72.29299164;11.968088;11.2;185180;5092.250182
Thailand;THA;121;7066.190546;71.601103;94.78276825;37.349283;15.74642127;513120;19506.66092
Tajikistan;TJK;54;897.0475103;9.750064;94.91239166;2.703303;23.80952381;141380;3745.362281
Turkmenistan;TKM;55;7344.65;6.341855;98.01;3.361056;25;488100;2004.623641
Trinidad and Tobago;TTO;10;16032.50277;1.525663;94.93678284;0.812644;26.19047619;5130;812.9608679
Tunisia;TUN;57;3807.13915;12.262946;104.7017365;8.570328;26.26728111;163610;2877.948644
Turkiye;TUR;96;9661.235975;84.775404;93.57749176;64.911679;17.33333333;785350;15460.68824
Taiwan;TWN;131;33059;23.859912;98.87;18.67227;41.59292035;36197;27835.5
Uganda;UGA;3;883.8920323;45.853778;52.67176056;11.717016;33.81294964;241550;3854.118139
Ukraine;UKR;149;4835.571777;43.792855;102.5925369;30.548582;20.80378251;603550;16271.29501
Uruguay;URY;17;17313.18835;3.42626;102.6509476;3.275607;24.24242424;176220;1017.871369
United States;USA;165;70248.629;331.893745;100.9236679;275.050303;27.64976959;9831510;186573.4467
Uzbekistan;UZB;51;1983.064723;34.9151;105.9979782;17.606637;32.65306122;448924;15432.20255
Venezuela, RB;VEN;24;2157.32;28.199867;92.58873749;24.907533;22.15568862;912050;6248.974133
Vietnam;VNM;125;3756.489121;97.468029;110.0212097;37.088534;30.26052104;331340;28615.40606
Kosovo;XKX;23;5269.783901;1.786038;97.18;50;34.16666667;10887;1636
South Africa;ZAF;53;7055.044776;59.392255;91.99948883;40.295863;46.58227848;1219090;15118.66208
